l1_category_id,price_elasticity,elasticity_label,r2,n_obs
1013,-4.0062,elastic,0.5452,87
992,-1.4799,elastic,0.252,81
130,-1.4152,elastic,0.8114,306
1959,-1.2978,elastic,0.8996,110
1388,-1.0092,elastic,0.6414,451
629,-0.9827,moderate,0.1662,479
1936,-0.8551,moderate,0.6767,1717
403,-0.7779,moderate,0.3704,83
1599,-0.7385,moderate,0.7168,4308
1871,-0.7098,moderate,0.7664,1504
922,-0.6715,moderate,0.6911,2437
1173,-0.6637,moderate,0.6864,3870
917,-0.654,moderate,0.534,11383
270,-0.6431,moderate,0.6545,1495
1184,-0.57,moderate,0.5548,10361
944,-0.5691,moderate,0.6299,11374
48,-0.5688,moderate,0.6285,3585
123,-0.5026,moderate,0.7238,5248
929,-0.4609,moderate,0.6984,3776
974,-0.452,moderate,0.6878,7569
33,-0.4374,moderate,0.6526,5023
157,-0.437,moderate,0.7484,1122
1412,-0.4345,moderate,0.7446,5127
156,-0.4274,moderate,0.6619,4530
1102,-0.427,moderate,0.689,8456
722,-0.4226,moderate,0.6929,10489
1452,-0.4095,moderate,0.4757,823
953,-0.4092,moderate,0.6935,6323
144,-0.4063,moderate,0.6978,2327
940,-0.3771,moderate,0.7223,14806
962,-0.3754,moderate,0.6125,6500
109,-0.3641,moderate,0.6928,2506
699,-0.3566,moderate,0.6833,3787
655,-0.3559,moderate,0.7247,547
882,-0.353,moderate,0.8033,511
1120,-0.3477,moderate,0.7322,629
108,-0.344,moderate,0.7423,3938
742,-0.3436,moderate,0.7518,3852
1930,-0.343,moderate,0.7467,6321
801,-0.3406,moderate,0.6803,3078
183,-0.3328,moderate,0.7596,8335
1933,-0.3272,moderate,0.7538,1852
975,-0.3264,moderate,0.7709,805
1833,-0.3175,moderate,0.5433,2038
80,-0.3151,moderate,0.7446,2192
1313,-0.3063,moderate,0.6085,2621
1295,-0.3027,moderate,0.7081,4991
998,-0.2978,moderate,0.7589,1439
1361,-0.2939,moderate,0.7166,660
62,-0.2938,moderate,0.7029,1020
1425,-0.2852,moderate,0.7441,1034
152,-0.2828,moderate,0.6835,2699
928,-0.2813,moderate,0.699,223
19,-0.2811,moderate,0.7235,2248
1663,-0.2717,moderate,0.6254,1077
1937,-0.2692,moderate,0.7414,2099
1893,-0.2652,moderate,0.6798,2342
816,-0.2647,moderate,0.6056,10128
1178,-0.2584,moderate,0.706,15340
1489,-0.2562,moderate,0.7093,6801
1187,-0.2482,moderate,0.7326,2399
1160,-0.2386,moderate,0.7264,6603
955,-0.2366,moderate,0.6241,8330
930,-0.2326,moderate,0.694,6071
126,-0.2322,moderate,0.5358,234
1289,-0.2294,moderate,0.7253,863
1375,-0.2276,moderate,0.6472,1094
939,-0.2213,moderate,0.5861,1352
698,-0.2208,moderate,0.5757,298
1130,-0.2187,moderate,0.7644,1205
952,-0.2184,moderate,0.6954,1904
1158,-0.2181,moderate,0.5831,3655
85,-0.2175,moderate,0.5712,698
1322,-0.2101,moderate,0.6252,8901
702,-0.2083,moderate,0.5895,4308
1117,-0.2082,moderate,0.6513,15081
28,-0.2059,moderate,0.7016,7646
1433,-0.2041,moderate,0.722,1234
29,-0.1939,inelastic,0.6542,10526
1010,-0.1928,inelastic,0.7097,4343
933,-0.1919,inelastic,0.6232,6125
169,-0.1913,inelastic,0.6401,1231
1092,-0.1876,inelastic,0.7231,1019
1115,-0.1873,inelastic,0.6194,7620
999,-0.1854,inelastic,0.4389,179
1784,-0.1835,inelastic,0.7155,1641
968,-0.1804,inelastic,0.6506,5365
1992,-0.1786,inelastic,0.4843,224
799,-0.1776,inelastic,0.6553,1957
971,-0.1735,inelastic,0.6855,5345
1472,-0.1725,inelastic,0.6281,556
82,-0.1697,inelastic,0.6962,711
946,-0.1696,inelastic,0.641,1142
1140,-0.1676,inelastic,0.7017,1164
693,-0.1641,inelastic,0.7528,1261
1166,-0.1583,inelastic,0.7449,3554
960,-0.1524,inelastic,0.6184,5136
981,-0.1508,inelastic,0.5686,3987
96,-0.1504,inelastic,0.4673,1367
943,-0.1462,inelastic,0.7003,3928
1413,-0.1457,inelastic,0.7105,4389
155,-0.1407,inelastic,0.7034,1785
964,-0.1373,inelastic,0.6828,2086
800,-0.1276,inelastic,0.617,7354
1982,-0.1275,inelastic,0.6818,4154
1049,-0.1257,inelastic,0.6352,10882
690,-0.1222,inelastic,0.6271,4351
710,-0.1139,inelastic,0.5124,720
1044,-0.113,inelastic,0.5289,2917
803,-0.1124,inelastic,0.6588,4311
1387,-0.1109,inelastic,0.6467,1285
923,-0.1064,inelastic,0.7108,1645
1048,-0.1062,inelastic,0.6143,5040
1109,-0.1047,inelastic,0.78,908
1362,-0.1044,inelastic,0.561,3525
120,-0.103,inelastic,0.1699,65
1415,-0.1024,inelastic,0.6184,162
1128,-0.1024,inelastic,0.5222,4302
1918,-0.1023,inelastic,0.7038,2829
1886,-0.1004,inelastic,0.6176,452
1161,-0.0997,inelastic,0.6785,10268
1715,-0.0989,inelastic,0.6532,562
1200,-0.0969,inelastic,0.5928,3685
166,-0.0954,inelastic,0.6348,11752
987,-0.0945,inelastic,0.6435,4024
1968,-0.0895,inelastic,0.6909,2792
1000,-0.0877,inelastic,0.6659,5688
133,-0.0876,inelastic,0.6844,2415
707,-0.0843,inelastic,0.7573,2771
105,-0.0785,inelastic,0.7247,5213
91,-0.0779,inelastic,0.5864,2366
1935,-0.0773,inelastic,0.6828,2403
1052,-0.0769,inelastic,0.5995,16977
696,-0.0751,inelastic,0.6814,7557
1294,-0.0738,inelastic,0.6613,3314
938,-0.0713,inelastic,0.6722,3632
395,-0.0697,inelastic,0.7417,2284
692,-0.0695,inelastic,0.6753,3971
1503,-0.063,inelastic,0.6972,3415
1001,-0.0624,inelastic,0.6555,3869
1363,-0.0582,inelastic,0.485,360
723,-0.058,inelastic,0.6917,8122
997,-0.0538,inelastic,0.5975,1341
1127,-0.0515,inelastic,0.1207,182
87,-0.0487,inelastic,0.6807,2078
691,-0.0468,inelastic,0.6162,2695
505,-0.0451,inelastic,0.7608,3033
986,-0.0373,inelastic,0.6588,3420
305,-0.0351,inelastic,0.6346,1256
209,-0.0345,inelastic,0.722,2385
1077,-0.0255,inelastic,0.6738,2611
1002,-0.0251,inelastic,0.6674,3011
278,-0.0216,inelastic,0.7096,4524
134,-0.0186,inelastic,0.6244,2967
1563,-0.0145,inelastic,0.5112,2607
815,-0.0136,inelastic,0.775,1782
298,-0.0106,inelastic,0.6075,1925
978,-0.01,inelastic,0.6674,936
1014,-0.0099,inelastic,0.7457,3188
926,-0.0087,inelastic,0.7099,4985
1075,-0.0021,inelastic,0.6341,7670
290,-0.0008,inelastic,0.6605,64
1121,0.0035,inelastic,0.7942,632
1674,0.0039,inelastic,0.7301,2141
988,0.0089,inelastic,0.7015,1377
1826,0.0117,inelastic,0.6186,1602
976,0.0126,inelastic,0.6096,2050
1131,0.0134,inelastic,0.6936,2882
1445,0.014,inelastic,0.6591,1249
50,0.0231,inelastic,0.6834,15950
316,0.0289,inelastic,0.7251,3368
1165,0.0334,inelastic,0.7592,2443
107,0.0377,inelastic,0.6672,2981
985,0.0384,inelastic,0.6845,1786
308,0.0388,inelastic,0.6303,703
1082,0.0405,inelastic,0.6492,5059
1590,0.0414,inelastic,0.6484,6366
57,0.042,inelastic,0.7605,464
342,0.0421,inelastic,0.4337,89
983,0.0541,inelastic,0.7242,5772
51,0.0641,inelastic,0.6305,6186
957,0.0659,inelastic,0.6586,12320
954,0.0707,inelastic,0.6743,9248
965,0.0768,inelastic,0.6461,5347
75,0.0818,inelastic,0.7351,897
1967,0.0926,inelastic,0.2418,193
1085,0.1037,positive_or_invalid,0.6536,3936
1920,0.1049,positive_or_invalid,0.3244,106
1135,0.1056,positive_or_invalid,0.6837,746
1126,0.1884,positive_or_invalid,0.7018,4143
1573,0.1901,positive_or_invalid,0.7597,4056
199,0.2025,positive_or_invalid,0.6978,541
1078,0.2324,positive_or_invalid,0.6167,2574
1948,0.4607,positive_or_invalid,0.706,1319
